URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,79,23,0.5490196024605921,0.10119047609008881,11.91764705882353,0.46924603174603174,4.954757236227825,11.91764705882353,473,814,2510,2,6.646594274432379
321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,38,13,0.49019606881968497,0.15044247743232309,13.56,0.5221238938053098,5.632849557522125,13.56,177,265,837,3,7.023598820058997
2345.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,0,0,0.0,0.0,6.0,0.0,2.4000000000000004,6.0,0,5,9,0,4.666666666666667
4321.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,35,26,0.14754098118785278,0.07911802843175353,12.655737704918034,0.4176394293125811,5.229350853692246,12.655737704918034,322,592,1710,7,6.383419689119171
432.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,35,26,0.14754098118785278,0.07911802843175353,12.655737704918034,0.4176394293125811,5.229350853692246,12.655737704918034,322,592,1710,7,6.383419689119171
2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,49,11,0.633333322777778,0.084388185535319,10.787878787878787,0.4219409282700422,4.483927886459532,10.787878787878787,300,542,1590,5,6.271067415730337
3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,32,10,0.5238095113378688,0.059999999914285715,14.936170212765957,0.4157142857142857,6.1407537993920975,14.936170212765957,291,492,1556,1,6.280626780626781
3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,59,6,0.815384602840237,0.06304558674777343,10.639175257731958,0.4384093113482056,4.431033827632066,10.639175257731958,452,802,2304,5,6.354651162790698
4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,0,0,0.0,0.0,6.0,0.0,2.4000000000000004,6.0,0,5,9,0,4.666666666666667
4741.0,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,19,47,-0.42424241781450883,0.10153846138224852,12.764705882352942,0.4246153846153846,5.275728506787331,12.764705882352942,276,498,1459,6,6.268817204301075
5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,12,10,0.09090908677685969,0.09777777734320987,7.793103448275862,0.35555555555555557,3.259463601532567,7.793103448275862,80,169,497,6,6.035398230088496
5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,27,15,0.2857142789115648,0.0597439543958123,10.830769230769231,0.35135135135135137,4.472848232848233,10.830769230769231,247,519,1504,7,5.940340909090909
6126.4,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,20,3,0.7391304026465042,0.06744868015410944,16.238095238095237,0.4046920821114369,6.65711492808267,16.238095238095237,138,243,748,1,6.12316715542522
6588.2,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,13,10,0.1304347769376184,0.04114490153641341,20.703703703703702,0.2880143112701252,8.396687205989531,20.703703703703702,161,367,1072,6,5.438282647584973
7050.0,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,21,14,0.19999999428571447,0.06003430521434939,13.880952380952381,0.3670668953687822,5.699207710528466,13.880952380952381,214,414,1214,2,5.787307032590052
7511.8,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,22,26,-0.08333333159722227,0.07121661710501985,12.481481481481481,0.33086053412462907,5.124936806242444,12.481481481481481,223,479,1300,27,5.486646884272997
7973.6,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,32,24,0.1428571403061225,0.0815138281200672,16.023255813953487,0.39737991266375544,6.568254290646897,16.023255813953487,273,478,1494,10,6.145137880986938
8435.4,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0,0,0.0,0.0,6.0,0.0,2.4000000000000004,6.0,0,5,9,0,4.666666666666667
8897.2,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58,39,0.19587628664045065,0.12548512273546555,9.439024390243903,0.3117723156532988,3.900318682358881,9.439024390243903,241,534,1493,7,5.4509043927648575
9359.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,37,0.27450980123029606,0.09941520458146665,11.930232558139535,0.43762183235867447,4.947141756199284,11.930232558139535,449,807,2318,3,6.355750487329435
9820.8,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,65,30,0.36842104875346265,0.11613691917342675,8.443298969072165,0.343520782396088,3.5147279005873013,8.443298969072165,281,613,1720,18,5.769230769230769
10282.6,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,57,25,0.3902438976799525,0.08257804624110972,11.616279069767442,0.36153071500503525,4.791123913908991,11.616279069767442,359,727,2087,18,5.886886886886887
10744.4,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,43,22,0.32307691810650896,0.08748317619450448,11.119402985074627,0.34589502018842533,4.5861192021052215,11.119402985074627,257,540,1527,21,5.704697986577181
11206.2,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22,11,0.33333332323232356,0.07499999982954546,9.382978723404255,0.3704545454545455,3.901373307543521,9.382978723404255,163,317,888,7,5.648526077097506
11668.0,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,6.0,0.0,2.4000000000000004,6.0,0,5,9,0,4.666666666666667
12129.8,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,32,13,0.4222222128395064,0.11166253074029149,10.631578947368421,0.3200992555831266,4.38067128118062,10.631578947368421,129,304,789,2,5.628712871287129
